103, 1741, 2032, 20975, 126, 101, 0, Jake Delhomme
125, 1316, 2358, 14746, 77, 84, 0, Kordell Stewart
96, 1969, 3171, 22814, 122, 93, 0, Marc Bulger
119, 1610, 2967, 20610, 124, 161, 0, Richard Todd
147, 1699, 3106, 21291, 114, 106, 0, Gus Freotte
129, 1306, 2419, 17536, 122, 127, 0, Milt Plum
93, 1752, 2796, 19440, 119, 99, 1, Brain Griese
90, 963, 1905, 14165, 98, 101, 0, Bill Nelsen
92, 1177, 2151, 14715, 86, 68, 0, Doung Flutie
89, 1632, 2471, 17823, 102, 64, 0, Chad Pennington
98, 1580, 2892, 19320, 123, 102, 0, Chris Miller
106, 1330, 2430, 17277, 105, 86, 0, Bill Kenny
88, 1431, 2516, 17191, 89, 84, 0, Stan Humphries
125, 1391, 2428, 17283, 99, 102, 1, Wade Wilson
105, 1446, 2445, 16774, 99, 81, 1, Elvis Grbac
99, 1301, 2346, 15692, 95, 81, 0, Scatt Mitchell
101, 1105, 1932, 13764, 81, 78, 0, Gary Danielson
107, 1070, 1982, 12896, 84, 80, 0, Bill Munson
90, 1519, 2518, 16771, 87, 60, 0, Jason Campbell
104, 1344, 2346, 16338, 76, 92, 0, Rodney Peete
185, 1248, 2337, 16079, 88, 106, 1, Mike Tomczak
94, 1353, 2267, 14452, 65, 71, 0, David Carr
96, 78, 1278, 2356, 15315, 77, 73, 1, Tony Banks
91, 912, 1751, 11295, 56, 83, 1, Mike Livingston
90, 1056, 1905, 12700, 66, 67, 0, Don Majkowski
83, 1317, 2299, 15337, 92, 79, 0, Erik Kramer
78, 661, 1173, 9197, 64, 64, 0, Bob Berry
119, 886, 1799, 10506, 55, 108, 0, Mike Phipps
76, 1008, 1717, 11844, 69, 66, 0, Jay Fiedler
87, 1613, 2712, 18037, 101, 69, 0, Kyle Orton
83, 607, 1149, 8136, 45, 59, 0, James Harris
60, 755, 1304, 8964, 46, 51, 0, Vince Young
99, 1207, 2212, 14445, 81, 78, 2, Bubby Brister
90, 911, 1564, 11142, 61, 51, 0, Tony Eason
102, 830, 1546, 10711, 55, 70, 0, Eric Hipple
91, 507, 1178, 6493, 36, 64, 0, Bobby Douglass
58, 687, 1300, 8558, 48, 63, 0, David Woodley
65, 731, 1363, 9296, 52, 60, 0, Pat Haden
126, 1085, 2081, 14391, 86, 102, 2, Marc Wilson
88, 934, 1701, 10439, 62, 42, 1, Steve Bono
75, 902, 1615, 11336, 76, 91, 0, Vince Ferragamo
81, 908, 1604, 11085, 61, 52, 1, Charlie Batch
60, 930, 1605, 10532, 58, 42, 1, Byron Leftwich
80, 1088, 2043, 11969, 50, 76, 0, Rick Mirer
81, 1424, 2538, 14693, 79, 85, 0, Joey Harrington
62, 1025, 1714, 11131, 64, 67, 0, Tim Couch
132, 754, 1509, 9414, 49, 63, 0, Mike Pagel
100, 704, 1390, 9485, 52, 74, 0, Vince Evans
51, 449, 918, 5911, 40, 64, 0, Joe Kapp
73, 560, 1110, 7111, 33, 69, 0, Bob Avellini
790, 605, 1066, 7156, 28, 41, 1, Steve Fuller
73, 839, 1648, 10175, 60, 81, 0, Mark Malone
73, 892, 1634, 10248, 44, 58, 0, Dave Brown
89, 513, 1048, 7133, 34, 67, 1, Jim Ninoski
52, 425, 785, 2063, 20, 31, 0, Virgil Carter
90, 560, 1110, 6270, 36, 63, 0, Jack Concannon
106, 597, 1151, 6878, 40, 60, 0, Steve Spurrier
82, 584, 1182, 7402, 43, 55, 0, Gary Cuozzo
69, 745, 1364, 8699, 45, 42, 0, John Friesz
54, 863, 1562, 10232, 56, 60, 0, Rex Grossman
79, 891, 1707, 10760, 59, 64, 0, Bill Joe Rolliver
65, 548, 974, 6870, 29, 39, 0, Steve Pelluer
75, 647, 1286, 8329, 51, 90, 0, Randy Johnson
92, 686, 1200, 8087, 48, 54, 1, Tommy Maddox
54, 456, 921, 6437, 35, 58, 0, Steve Ramsey
67, 873, 1644, 10243, 43, 69, 0, Jack Trudeau
79, 743, 1325, 9436, 49, 60, 0, Gary Hogeboom
96, 479, 916, 6230, 39, 40, 0, Jeff Kemp
52, 591, 1092, 7625, 41, 38, 0, Craig Erickson
77, 368, 730, 5034, 30, 40, 0, Bob Lee
81, 694, 1339, 7801, 39, 33, 0, Kent Graham
54, 335, 748, 4756, 23, 38, 0, Scott Hunter
80, 713, 1317, 7875, 40, 58, 0, Steve Walsh
123, 429, 881, 5553, 37, 71, 0, King Hill
54, 504, 980, 6205, 28, 51, 0, David Whitehurst
50, 489, 924, 6347, 35, 68, 0, Dennis Shaw
64, 574, 946, 6303, 33, 26, 1, Damon Huard
55, 645, 1074, 7597, 49, 36, 1, Matt Moore
90, 399, 809, 4904, 27, 50, 0, Marty Domres
167, 443, 779, 5349, 45, 42, 0, Don Strock
110, 575, 1282, 8176, 43, 84, 0, Pete Beathard
99, 354, 736, 4801, 36, 43, 0, Dick Shiner
61, 425, 898, 5552, 24, 48, 0, Joe Pisarcik
73, 512, 1046, 6457, 29, 54, 0, Socrr Brunner
66, 359, 684, 4506, 23, 43, 0, Cliff Stoudt
67, 861, 1519, 8931, 48, 54, 0, Kyle Boller
54, 546, 946, 6351, 34, 35, 0, Ty Detmer
53, 551, 1039, 6987, 36, 55, 0, Dave Wilson
106, 504, 972, 5816, 27, 32, 0, Steve Dils
85, 411, 767, 5269, 24, 37, 0, Paul McDonald
118, 508, 932, 6075, 40, 36, 0, Frank Reich
112, 305, 579, 4332, 28, 30, 2, Matt Cavanaugh
64, 468, 788, 4947, 31, 19, 0, Seneca Wallace
55, 336, 661, 4337, 18, 30, 0, David Archer
51, 449, 845, 5315, 33, 45, 0, Jack Thompson
145, 364, 657, 4320, 31, 35, 0, Pat Ryan
66, 292, 626, 4119, 24, 52, 0, Ralph Guglielmi
50, 225, 513, 2825, 18, 31, 0, Joe Reed
56, 369, 862, 5558, 43, 46, 0, Steve Tensi
62, 311, 504, 3788, 11, 20, 0, Turk Schonert
69, 244, 523, 3519, 18, 38, 0, Matt Robinson
64, 182, 413, 2765, 24, 37, 2, John Roach
